Key,English,Vietnamese,Brazil,Turkish,German,France,Indonesian,Spanish,Russian,Korean,Japanese,Hindi,Ukrainian,Italian,Giải thích
bundle_description,This offer is only available for the <color=#F2F14C>{0}</color>,Ưu đãi này chỉ dành cho <color=#F2F14C>{0}</color>,Esta oferta está disponível apenas para a <color=#F2F14C>{0}</color>,Bu teklif sadece <color=#F2F14C>{0}</color> için geçerlidir,Dieses Angebot ist nur für die <color=#F2F14C>{0}</color> verfügbar,Cette offre est uniquement disponible pour l' <color=#F2F14C>{0}</color>,Penawaran ini hanya tersedia untuk <color=#F2F14C>{0}</color>,Esta oferta solo está disponible para la <color=#F2F14C>{0}</color>,Это предложение доступно только для <color=#F2F14C>{0}</color>,이 혜택은 <color=#F2F14C>{0}</color>에서만 이용 가능합니다,このオファーは<color=#F2F14C>{0}</color>限定です,यह ऑफर केवल <color=#F2F14C>{0}</color> के लिए उपलब्ध है,Ця пропозиція доступна лише для <color=#F2F14C>{0}</color>,Questa offerta è disponibile solo per l' <color=#F2F14C>{0}</color>,
bundle_name_1,Paleolithic Era Offer,Gói Kỷ Đồ Đá,Oferta da Era Paleolítica,Paleolitik Çağ Teklifi,Altsteinzeit-Angebot,Offre de l'ère paléolithique,Penawaran Era Paleolitikum,Oferta de la Era Paleolítica,Предложение эпохи палеолита,구석기 시대 제안,旧石器時代のオファー,पुरापाषाण युग का ऑफ़र,Пропозиція палеоліту,Offerta Era Paleolitica,
bundle_name_10,Galactic Era Offer,Gói Thời Đại Vũ Trụ,Oferta da Era Galáctica,Galaktik Çağ Teklifi,Angebot der galaktischen Ära,Offre de l'ère galactique,Penawaran Era Galaksi,Oferta de la Era Galáctica,Предложение галактической эры,은하 시대 혜택,銀河時代のオファー,गैलेक्टिक युग प्रस्ताव,Пропозиція Галактичної ери,Offerta Era Galattica,
bundle_name_11,Viking Era Offer,Gói Thời Đại Viking,Oferta da Era Viking,Viking Çağı Teklifi,Angebot aus der Wikingerzeit,Offre de l'ère viking,Penawaran Era Viking,Oferta de la Era Vikinga,Предложение эпохи викингов,바이킹 시대 혜택,ヴァイキング時代のオファー,वाइकिंग युग का प्रस्ताव,Пропозиція епохи вікінгів,Offerta dell'era vichinga,
bundle_name_12,Dynasty Era Offer,Gói Thời Đại Tam Quốc,Oferta da Era das Dinastias,Hanedanlık Devri Teklifi,Dynastie-Ära-Angebot,Offre de l'Ère des Dynasties,Penawaran Era Dinasti,Oferta de la Era de la Dinastía,Предложение Эпохи Династий,왕조 시대 오퍼,王朝時代のオファー,राजवंश युग प्रस्ताव,Пропозиція епохи династій,Offerta Era delle Dinastie,
bundle_name_13,Pirate Era Offer,Gói Thời Đại Cướp Biển,Oferta da Era Pirata,Korsan Çağı Teklifi,Angebot der Piraten-Ära,Offre de l'ère des pirates,Penawaran Era Bajak Laut,Oferta de la era pirata,Предложение Эпохи Пиратов,해적 시대 혜택,海賊時代のオファー,समुद्री डाकू युग प्रस्ताव,Пропозиція Епохи Піратів,Offerta Era dei Pirati,
bundle_name_14,Sorcerer Era Offer,Gói Thời Đại Pháp Thuật,Oferta Era dos Feiticeiros,Büyücü Çağı Teklifi,Zauberer-Ära-Angebot,Offre de l'ère des sorciers,Penawaran Era Penyihir,Oferta de la Era de los Hechiceros,Предложение «Эпоха магов»,마법사 시대 상품,魔術師の時代オファー,जादूगर युग प्रस्ताव,Пропозиція «Епоха магів»,Offerta Era degli Stregoni,
bundle_name_15,Techno Era Offer,Gói Thời Đại Công Nghệ,Oferta da Era Techno,Techno Çağı Teklifi,Angebot der Techno-Ära,Offre de l'ère Techno,Penawaran Era Tekno,Oferta de la Era Techno,Предложение Эры Техно,테크노 시대 오퍼,テクノ時代のオファー,टेक्नो युग ऑफर,Пропозиція ери техно,Offerta dell'era Techno,
bundle_name_16,Hunter Era Offer,Gói Thời Đại Thợ Săn,Oferta Hunter Era,Hunter Era Teklifi,Hunter Era Angebot,Offre Hunter Era,Penawaran Hunter Era,Oferta de Hunter Era,Предложение Hunter Era,헌터 에라 혜택,ハンターエラオファー,हंटर एरा ऑफर,Пропозиція Hunter Era,Offerta Hunter Era,
bundle_name_17,Farmer Era Offer,Gói Thời Đại Nông Dân,Oferta Era do Fazendeiro,Çiftçi Devri Teklifi,Angebot der Farmer-Ära,Offre de l'Ère des Fermiers,Penawaran Era Petani,Oferta de la Era del Granjero,Предложение «Эра фермеров»,농부의 시대 제안,農夫の時代オファー,किसान युग प्रस्ताव,Пропозиція «Ера фермерів»,Offerta Era dei Contadini,
bundle_name_18,Underground Era Offer,Gói Thời Đại Thế Giới Ngầm,Oferta da Era Subterrânea,Yeraltı Çağı Teklifi,Angebot der Untergrund-Ära,Offre de l'ère souterraine,Penawaran Era Bawah Tanah,Oferta de la era subterránea,Предложение Эпохи Подземелья,지하 시대 혜택,アンダーグラウンド時代のオファー,भूमिगत युग का प्रस्ताव,Пропозиція епохи підземелля,Offerta Era Sotterranea,
bundle_name_19,Mechanical Era Offer,Gói Thời Đại Cơ Khí,Oferta da Era Mecânica,Mekanik Çağ Teklifi,Angebot der mechanischen Ära,Offre de l'ère mécanique,Penawaran Era Mekanik,Oferta de la Era Mecánica,Предложение Механической эры,기계 시대 혜택,メカニカル・エラ・オファー,मैकेनिकल एरा ऑफर,Пропозиція Механічної ери,Offerta Era Meccanica,
bundle_name_2,Middle Era Offer,Gói Kỷ Trung Cổ,Oferta da Era Média,Orta Çağ Teklifi,Mittel-Ära-Angebot,Offre de l'ère intermédiaire,Penawaran Era Madya,Oferta de la Era Media,Предложение средней эры,중기 시대 제안,中期時代のオファー,मध्य युग का ऑफ़र,Пропозиція середньої ери,Offerta Era Media,
bundle_name_20,VR/AR Era Offer,Gói Thời Đại Thực Tế Ảo,Oferta da Era VR/AR,VR/AR Çağı Teklifi,Angebot der VR/AR-Ära,Offre de l'ère VR/AR,Penawaran Era VR/AR,Oferta de la era VR/AR,Предложение эпохи VR/AR,VR/AR 시대 특가,VR/AR時代オファー,VR/AR युग का ऑफर,Пропозиція епохи VR/AR,Offerta dell'era VR/AR,
bundle_name_21,Babylon Era Offer,Gói Thời Đại Babylon,Oferta da Era da Babilônia,Babil Çağı Teklifi,Babylon-Ära-Angebot,Offre de l'ère de Babylone,Penawaran Era Babilonia,Oferta de la Era de Babilonia,Предложение эпохи Вавилона,바빌론 시대 혜택,バビロン時代のオファー,बेबीलोन युग का ऑफर,Пропозиція епохи Вавилону,Offerta dell'era di Babilonia,
bundle_name_3,Industrial Era Offer,Gói Kỷ Công Nghiệp,Oferta da Era Industrial,Sanayi Çağı Teklifi,Angebot des Industriezeitalters,Offre de l'Ère Industrielle,Penawaran Era Industri,Oferta de la Era Industrial,Предложение индустриальной эры,산업 시대 혜택,産業時代のオファー,औद्योगिक युग का ऑफर,Пропозиція індустріальної ери,Offerta dell'era industriale,
bundle_name_4,Modern Era Offer,Gói Kỷ Hiện Đại,Oferta da Era Moderna,Modern Çağ Teklifi,Angebot der Moderne,Offre de l'Ère Moderne,Penawaran Era Modern,Oferta de la Era Moderna,Предложение современной эры,현대 시대 혜택,現代のオファー,आधुनिक युग का ऑफर,Пропозиція сучасної ери,Offerta dell'era moderna,
bundle_name_5,Cyber Era Offer,Gói Kỷ Tương Lai,Oferta da Era Cyber,Siber Çağ Teklifi,Angebot der Cyber-Ära,Offre de l'Ère Cyber,Penawaran Era Siber,Oferta de la Era Cíber,Предложение кибер-эры,사이버 시대 혜택,サイバー時代のオファー,साइबर युग का ऑफर,Пропозиція кіберери,Offerta dell'era Cyber,
bundle_name_6,Nile Era Offer,Gói Thời Đại Ai Cập,Oferta da Era do Nilo,Nil Çağı Teklifi,Nil-Ära-Angebot,Offre de l'ère du Nil,Penawaran Era Nil,Oferta de la Era del Nilo,Предложение Эры Нила,나일 시대 혜택,ナイル時代オファー,नील युग प्रस्ताव,Пропозиція ери Нілу,Offerta Era del Nilo,
bundle_name_7,Legion Era Offer,Gói Thời Đại La Mã,Oferta da Era da Legião,Lejyon Çağı Teklifi,Angebot der Legion-Ära,Offre de l'Ère de la Légion,Penawaran Era Legiun,Oferta de la Era de la Legión,Предложение Эпохи Легиона,군단 시대 혜택,レギオン・エラ・オファー,लीजन एरा ऑफर,Пропозиція Епохи Легіону,Offerta Era della Legione,
bundle_name_8,Shogun Era Offer,Gói Thời Đại Mạc Phủ,Oferta da Era Shogun,Şogun Devri Teklifi,Shogun-Ära Angebot,Offre de l'ère Shogun,Penawaran Era Shogun,Oferta de la Era Shogun,Предложение эпохи сёгунов,쇼군 시대 제안,将軍時代オファー,शोगुन युग का प्रस्ताव,Пропозиція епохи Сьогунів,Offerta dell'era Shogun,
bundle_name_9,Diesel Era Offer,Gói Thời Đại Thế Chiến,Oferta da Era Diesel,Dizel Çağı Teklifi,Diesel-Ära-Angebot,Offre de l'ère Diesel,Penawaran Era Diesel,Oferta de la Era Diésel,Предложение «Эпоха дизеля»,디젤 시대 특가,ディーゼル時代のオファー,डीजल युग का ऑफ़र,Пропозиція «Епоха дизеля»,Offerta dell'era diesel,
claim,Claim,Nhận,Reivindicar,Talep Et,Beanspruchen,Réclamer,Klaim,Reclamar,Забрать,획득,獲得,दावा करें,Забрати,Riscatta,
com.horus.human.era.bundle.energypack,ENERGY BUNDLE,GÓI NĂNG LƯỢNG,Pacote de Energia,Enerji Paketi,Energiepaket,Pack d'énergie,Bundel Energi,Paquete de energía,Набор энергии,에너지 번들,エネルギーバンドル,ऊर्जा बंडल,Набір енергії,Pacchetto energia,
com.horus.human.era.bundle.hero1,Samurai pack,Gói Samurai,Pacote Samurai,Samuray paketi,Samurai-Paket,Pack Samouraï,Paket Samurai,Paquete Samurái,Набор самурая,사무라이 팩,サムライパック,समुराई पैक,Набір самурая,Pacchetto Samurai,
com.horus.human.era.bundle.hero2,Mad Scientist Pack,Gói Bác Học Điên,Pacote Cientista Louco,Çılgın Bilim İnsanı Paketi,Verrückter-Wissenschaftler-Paket,Pack Scientifique Fou,Paket Ilmuwan Gila,Paquete de Científico Loco,Набор «Безумный ученый»,매드 사이언티스트 팩,マッドサイエンティストパック,मैड साइंटिस्ट पैक,Набір «Божевільний вчений»,Pacchetto Scienziato Pazzo,
com.horus.human.era.bundle.hero3,Punch Pack,Gói Punch,Pacote de Soco,Yumruk Paketi,Punch-Paket,Pack de coups,Paket Pukulan,Pack de puñetazos,Набор «Удар»,펀치 팩,パンチパック,पंच पैक,Набір «Удар»,Pacchetto pugno,
com.horus.human.era.bundle.starterpack,STARTER BUNDLE,GÓI KHỞI ĐẦU,PACOTE INICIAL,BAŞLANGIÇ PAKETİ,STARTER-PAKET,PACK DE DÉMARRAGE,BUNDEL PEMULA,PAQUETE DE INICIO,НАБОР НОВИЧКА,스타터 번들,スターターバンドル,स्टार्टर बंडल,ПОЧАТКОВИЙ НАБІР,PACCHETTO INIZIALE,
com.horus.human.era.energy.jar,ENERGY JAR,HŨ NĂNG LƯỢNG,Pote de Energia,Enerji Kavanozu,Energieglas,Jarre d'énergie,Toples Energi,Tarro de energía,Банка энергии,에너지 병,エナジージャー,ऊर्जा जार,Банка енергії,Giara d'energia,
com.horus.human.era.energy.jar.des1,Spend <color=red> {0} more energy </color> to complete your Energy Jar! Fill it up to unlock the mega deal!,Dùng thêm <color=red> {0} năng lượng </color> để làm đầy Hũ Năng Lượng! Mở khóa ưu đãi khi đầy hũ!,Gaste mais <color=red> {0} de energia </color> para completar seu Pote de Energia! Encha-o para desbloquear a megaoferta!,Enerji Kavanozunu tamamlamak için <color=red> {0} enerji daha </color> harca! Büyük fırsatı açmak için kavanozu doldur!,"Gib <color=red> {0} weitere Energie </color> aus, um dein Energie-Glas zu füllen! Mach es voll, um das Mega-Angebot freizuschalten!",Dépensez <color=red> {0} d'énergie supplémentaire </color> pour remplir votre Jarre d'Énergie ! Remplissez-la pour débloquer la méga offre !,Gunakan <color=red> {0} energi lagi </color> untuk mengisi Stoples Energimu! Isi sampai penuh untuk membuka penawaran mega!,¡Gasta <color=red> {0} de energía más </color> para completar tu Frasco de energía! ¡Llénalo para desbloquear la megaoferta!,"Потратьте еще <color=red> {0} энергии </color>, чтобы заполнить свою банку энергии! Наполните ее, чтобы разблокировать мегапредложение!",에너지 병을 완성하려면 <color=red> {0} 에너지를 더 </color> 사용하세요! 가득 채워서 메가 딜을 잠금 해제하세요!,エネルギーの瓶を完成させるには、あと <color=red> {0} エネルギー </color> 消費してください！満タンにしてメガセールをアンロックしましょう！,अपने एनर्जी जार को पूरा करने के लिए <color=red> {0} और ऊर्जा </color> खर्च करें! मेगा डील अनलॉक करने के लिए इसे भरें!,"Витратьте ще <color=red> {0} енергії </color>, щоб заповнити свою Банку енергії! Наповніть її, щоб розблокувати мегаугоду!",Spendi altri <color=red> {0} di energia </color> per completare il tuo Barattolo di Energia! Riempilo per sbloccare la mega offerta!,
com.horus.human.era.energy.jar.des2,Awesome! The Jar is full. Get <color=red> 50 Energies </color> now at a super price!,Tuyệt vời! Hũ đã đầy. Sở hữu ngay <color=red> 50 Năng Lượng </color> với giá siêu ưu đãi!,Incrível! O frasco está cheio. Obtenha <color=red> 50 Energias </color> agora por um super preço!,Harika! Kavanoz doldu. Şimdi süper bir fiyata <color=red> 50 Enerji </color> al!,Großartig! Das Glas ist voll. Hol dir jetzt <color=red> 50 Energien </color> zum Superpreis!,Génial ! Le bocal est plein. Obtenez <color=red> 50 Énergies </color> maintenant à un super prix !,Luar biasa! Stoplesnya sudah penuh. Dapatkan <color=red> 50 Energi </color> sekarang dengan harga super!,¡Increíble! El frasco está lleno. ¡Consigue <color=red> 50 Energías </color> ahora a un superprecio!,Здорово! Банка полна. Получите <color=red> 50 энергии </color> прямо сейчас по суперцене!,멋져요! 병이 가득 찼습니다. 지금 <color=red> 50 에너지 </color>를 파격적인 가격으로 받으세요!,すごい！ジャーがいっぱいです。今すぐ超特価で <color=red> 50 エネルギー </color> を手に入れよう！,शानदार! जार भर गया है। अभी शानदार कीमत पर <color=red> 50 ऊर्जा </color> प्राप्त करें!,Чудово! Банка повна. Отримайте <color=red> 50 енергії </color> зараз за суперціною!,Fantastico! Il barattolo è pieno. Ottieni <color=red> 50 Energie </color> ora a un super prezzo!,
com.horus.age.evolution.energy1,10 ENERGY,10 NĂNG LƯỢNG,10 ENERGIA,10 ENERJİ,10 ENERGIE,10 ÉNERGIE,10 ENERGI,10 ENERGÍA,10 ЭНЕРГИИ,10 에너지,10 エネルギー,10 ऊर्जा,10 ЕНЕРГІЇ,10 ENERGIA,
com.horus.age.evolution.energy2,40 ENERGY,40 NĂNG LƯỢNG,40 ENERGIA,40 ENERJİ,40 ENERGIE,40 ÉNERGIE,40 ENERGI,40 ENERGÍA,40 ЭНЕРГИИ,40 에너지,40 エネルギー,40 ऊर्जा,40 ЕНЕРГІЇ,40 ENERGIA,
com.horus.age.evolution.energy3,125 ENERGY,125 NĂNG LƯỢNG,125 ENERGIA,125 ENERJİ,125 ENERGIE,125 ÉNERGIE,125 ENERGI,125 ENERGÍA,125 ЭНЕРГИИ,125 에너지,125 エネルギー,125 ऊर्जा,125 ЕНЕРГІЇ,125 ENERGIA,
com.horus.human.era.gem1,1000 GEM,1000 NGỌC,1000 GEMAS,1000 ELMAS,1000 EDELSTEINE,1000 GEMMES,1000 PERMATA,1000 GEMAS,1000 КРИСТАЛЛОВ,1000 보석,1000 ジェム,1000 रत्न,1000 КРИСТАЛІВ,1000 GEMME,
com.horus.human.era.gem2,3500 GEM,3500 NGỌC,3500 GEMAS,3500 ELMAS,3500 EDELSTEINE,3500 GEMMES,3500 PERMATA,3500 GEMAS,3500 КРИСТАЛЛОВ,3500 보석,3500 ジェム,3500 रत्न,3500 КРИСТАЛІВ,3500 GEMME,
com.horus.human.era.gem3,12.000 GEM,12.000 NGỌC,12.000 GEMAS,12.000 ELMAS,12.000 EDELSTEINE,12.000 GEMMES,12.000 PERMATA,12.000 GEMAS,12 000 КРИСТАЛЛОВ,"12,000 보석","12,000 ジェム","12,000 रत्न",12 000 КРИСТАЛІВ,12.000 GEMME,
com.horus.age.evolution.offer.t1a2,TIMELINE 1 - AGE 2 OFFER,ƯU ĐÃI DÒNG THỜI GIAN 1 - KỶ NGUYÊN 2,OFERTA LINHA DO TEMPO 1 - ERA 2,ZAMAN ÇİZELGESİ 1 - ÇAĞ 2 TEKLİFİ,ZEITSTRAHL 1 - ZEITALTER 2 ANGEBOT,OFFRE LIGNE TEMPORELLE 1 - ÂGE 2,PENAWARAN GARIS WAKTU 1 - ZAMAN 2,OFERTA LÍNEA DE TIEMPO 1 - EDAD 2,ПРЕДЛОЖЕНИЕ: ВРЕМЕННАЯ ШКАЛА 1 — ЭПОХА 2,타임라인 1 - 시대 2 오퍼,タイムライン1 - 時代2 オファー,समय रेखा 1 - युग 2 ऑफ़र,ПРОПОЗИЦІЯ: ЧАСОВА ШКАЛА 1 — ЕПОХА 2,OFFERTA LINEA TEMPORALE 1 - ETÀ 2,
com.horus.age.evolution.offer.t1a3,TIMELINE 1 - AGE 3 OFFER,ƯU ĐÃI DÒNG THỜI GIAN 1 - KỶ NGUYÊN 3,LINHA DO TEMPO 1 - OFERTA DA IDADE 3,ZAMAN ÇİZELGESİ 1 - ÇAĞ 3 TEKLİFİ,ZEITLINIE 1 - ZEITALTER 3 ANGEBOT,LIGNE DU TEMPS 1 - OFFRE ÂGE 3,LINI MASA 1 - PENAWARAN ZAMAN 3,LÍNEA DE TIEMPO 1 - OFERTA DE EDAD 3,ВРЕМЕННАЯ ШКАЛА 1 - ПРЕДЛОЖЕНИЕ ЭПОХИ 3,타임라인 1 - 시대 3 혜택,タイムライン 1 - 時代 3 オファー,समय रेखा 1 - आयु 3 ऑफ़र,ЧАСОВА ШКАЛА 1 - ПРОПОЗИЦІЯ ЕПОХИ 3,LINEA TEMPORALE 1 - OFFERTA ETÀ 3,
com.horus.age.evolution.offer.t1a4,TIMELINE 1 - AGE 4 OFFER,ƯU ĐÃI DÒNG THỜI GIAN 1 - KỶ NGUYÊN 4,LINHA DO TEMPO 1 - OFERTA DA IDADE 4,ZAMAN ÇİZELGESİ 1 - ÇAĞ 4 TEKLİFİ,ZEITLINIE 1 - ZEITALTER 4 ANGEBOT,LIGNE DU TEMPS 1 - OFFRE ÂGE 4,LINI MASA 1 - PENAWARAN ZAMAN 4,LÍNEA DE TIEMPO 1 - OFERTA DE EDAD 4,ВРЕМЕННАЯ ШКАЛА 1 - ПРЕДЛОЖЕНИЕ ЭПОХИ 4,타임라인 1 - 시대 4 혜택,タイムライン 1 - 時代 4 オファー,समय रेखा 1 - आयु 4 ऑफ़र,ЧАСОВА ШКАЛА 1 - ПРОПОЗИЦІЯ ЕПОХИ 4,LINEA TEMPORALE 1 - OFFERTA ETÀ 4,
com.horus.age.evolution.offer.t1a5,TIMELINE 1 - AGE 5 OFFER,ƯU ĐÃI DÒNG THỜI GIAN 1 - KỶ NGUYÊN 5,LINHA DO TEMPO 1 - OFERTA DA IDADE 5,ZAMAN ÇİZELGESİ 1 - ÇAĞ 5 TEKLİFİ,ZEITLINIE 1 - ZEITALTER 5 ANGEBOT,LIGNE DU TEMPS 1 - OFFRE ÂGE 5,LINI MASA 1 - PENAWARAN ZAMAN 5,LÍNEA DE TIEMPO 1 - OFERTA DE EDAD 5,ВРЕМЕННАЯ ШКАЛА 1 - ПРЕДЛОЖЕНИЕ ЭПОХИ 5,타임라인 1 - 시대 5 혜택,タイムライン 1 - 時代 5 オファー,समय रेखा 1 - आयु 5 ऑफ़र,ЧАСОВА ШКАЛА 1 - ПРОПОЗИЦІЯ ЕПОХИ 5,LINEA TEMPORALE 1 - OFFERTA ETÀ 5,
com.horus.age.evolution.offer.t2a1,TIMELINE 2 - AGE 1 OFFER,ƯU ĐÃI DÒNG THỜI GIAN 2 - KỶ NGUYÊN 1,LINHA DO TEMPO 2 - OFERTA DA ERA 1,ZAMAN ÇİZELGESİ 2 - ÇAĞ 1 TEKLİFİ,ZEITLEISTE 2 - ZEITALTER 1 ANGEBOT,CHRONOLOGIE 2 - OFFRE ÂGE 1,LINI MASA 2 - PENAWARAN ZAMAN 1,LÍNEA DE TIEMPO 2 - OFERTA DE EDAD 1,ХРОНОЛОГИЯ 2 - ПРЕДЛОЖЕНИЕ ЭПОХИ 1,타임라인 2 - 시대 1 제안,タイムライン 2 - 時代 1 オファー,टाइमलाइन 2 - आयु 1 ऑफ़र,ХРОНОЛОГІЯ 2 - ПРОПОЗИЦІЯ ЕПОХИ 1,TIMELINE 2 - OFFERTA ETÀ 1,
com.horus.age.evolution.offer.t2a2,TIMELINE 2 - AGE 2 OFFER,ƯU ĐÃI DÒNG THỜI GIAN 2 - KỶ NGUYÊN 2,LINHA DO TEMPO 2 - OFERTA DA ERA 2,ZAMAN ÇİZELGESİ 2 - 2. ÇAĞ TEKLİFİ,ZEITLINIE 2 - ZEITALTER 2 ANGEBOT,CHRONOLOGIE 2 - OFFRE ÂGE 2,LINIMASA 2 - PENAWARAN ZAMAN 2,LÍNEA DE TIEMPO 2 - OFERTA DE ERA 2,ВРЕМЕННАЯ ШКАЛА 2 - ПРЕДЛОЖЕНИЕ ЭРЫ 2,타임라인 2 - 시대 2 제안,タイムライン 2 - 時代 2 オファー,टाइमलाइन 2 - युग 2 ऑफ़र,ЧАСОВА ШКАЛА 2 - ПРОПОЗИЦІЯ ЕРИ 2,LINEA TEMPORALE 2 - OFFERTA ETÀ 2,
com.horus.age.evolution.offer.t2a3,TIMELINE 2 - AGE 3 OFFER,ƯU ĐÃI DÒNG THỜI GIAN 2 - KỶ NGUYÊN 3,LINHA DO TEMPO 2 - OFERTA DA ERA 3,ZAMAN ÇİZELGESİ 2 - 3. ÇAĞ TEKLİFİ,ZEITLEISTE 2 - ZEITALTER 3 ANGEBOT,CHRONOLOGIE 2 - OFFRE ÂGE 3,LINIMASA 2 - PENAWARAN ZAMAN 3,LÍNEA DE TIEMPO 2 - OFERTA DE LA ERA 3,ВРЕМЕННАЯ ШКАЛА 2 — ПРЕДЛОЖЕНИЕ ЭПОХИ 3,타임라인 2 - 시대 3 혜택,タイムライン 2 - 時代 3 のオファー,टाइमलाइन 2 - युग 3 का ऑफर,ЧАСОВА ШКАЛА 2 — ПРОПОЗИЦІЯ ЕРИ 3,CRONOLOGIA 2 - OFFERTA ETÀ 3,
com.horus.age.evolution.offer.t2a4,TIMELINE 2 - AGE 4 OFFER,ƯU ĐÃI DÒNG THỜI GIAN 2 - KỶ NGUYÊN 4,LINHA DO TEMPO 2 - OFERTA DA ERA 4,ZAMAN ÇİZELGESİ 2 - 4. ÇAĞ TEKLİFİ,ZEITLINIE 2 - ZEITALTER 4 ANGEBOT,CHRONOLOGIE 2 - OFFRE ÂGE 4,LINI MASA 2 - PENAWARAN ZAMAN 4,LÍNEA DE TIEMPO 2 - OFERTA DE EDAD 4,ХРОНОЛОГИЯ 2 - ПРЕДЛОЖЕНИЕ ЭРЫ 4,타임라인 2 - 시대 4 제안,タイムライン2 - 時代4オファー,टाइमलाइन 2 - आयु 4 ऑफ़र,ХРОНОЛОГІЯ 2 - ПРОПОЗИЦІЯ ЕРИ 4,CRONOLOGIA 2 - OFFERTA ETÀ 4,
